index,version,CompanyName,year,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,car_length,price
154,ניסאן X TRAIL TEKNA,ניסאן,2020,1749 ליטר דיזל,1749,דיזל,"23,950",1,1,אפור מטאלי,פרטית,11,2417,469.0,174900
155,סיטרואן C5 AIRCROSS FEEL,סיטרואן,2020,1499 ליטר דיזל,1499,דיזל,"12,933",1,1,לבן,פרטית,11,2130,450.0,139900
156,קיה פיקנטו GT LINE,קיה,2021,1197 ליטר בנזין,1197,בנזין,"1,000",1,1,אדום,פרטית,10,1235,359.5,90900
157,ניסאן ג'וק ACENTA-TECK,ניסאן,2021,999 ליטר בנזין,999,בנזין,"4,906",1,1,לבן,פרטית,8,1811,421.0,124900
158,פיג'ו 108 ACTIVE,פיג'ו,2017,1199 ליטר בנזין,1199,בנזין,"71,193",1,2,אפור עכבר,פרטית,11,1102,347.5,37900
159,מיצובישי אקליפס קרוס,מיצובישי,2018,1499 ליטר בנזין,1499,בנזין,"87,544",1,1,אפור,ליסינג,5,1835,440.5,104900
160,פיג'ו 208 ACTIVE SLINE,פיג'ו,2020,1199 ליטר בנזין,1199,בנזין,"14,747",1,1,לבן,פרטית,7,1529,397.3,89900
161,רנו קליאו INTENSE,רנו,2020,1332 ליטר בנזין,1332,בנזין,"30,149",1,1,כתום,פרטית,1,1529,404.7,99900
162,אופל קורסה ELEGANCE,אופל,2020,1199 ליטר בנזין,1199,בנזין,"9,000",1,1,אדום,פרטית,7,1529,405.5,98900
163,סקודה קודיאק STYLE,סקודה,2020,1498 ליטר בנזין,1498,בנזין,"19,000",2,1,אפור כהה,פרטית,4,2417,405.5,185000
164,מרצדס S קלאס S560 4M MAYBACH ULTIMATE,מרצדס,2019,3982 ליטר בנזין,3982,בנזין,"16,000",1,1,שחור,פרטית,7,4731,525.5,1030000
165,מאזדה 3 COMFORT,מאזדה,2014,1496 ליטר בנזין,1496,בנזין,"218,000",2,1,אפור,ליסינג,12,1424,458.5,47999
166,אאודי Q3 EXECUTIVE,אאודי,2017,1395 ליטר בנזין,1395,בנזין,"135,000",1,1,שחור,פרטית,4,2563,438.8,128000
167,שברולט טראקס LT,שברולט,2014,1364 ליטר בנזין,1364,בנזין,"136,000",1,1,אדום מטל,פרטית,10,1584,424.8,46000
168,מאזדה 6 BLACK EDITIO,מאזדה,2021,2488 ליטר בנזין,2488,בנזין,"6,806",2,1,שחור,פרטית,6,2417,487.0,193000
169,יונדאי I10 INSPIRE,יונדאי,2011,1086 ליטר בנזין,1086,בנזין,"140,000",3,1,בורדו מטל,פרטית,7,880,358.5,25000
170,קיה פיקנטו EX,קיה,2013,1248 ליטר בנזין,1248,בנזין,"171,000",3,1,חום כהה,פרטית,4,985,359.5,32000
