index,version,CompanyName,is_GAC,is_maserati,is_daihatsu,is_porsche,is_ds,is_smart,is_seres,is_cadillac,is_דודג',is_infinity,is_alfa-romeo,is_buick,is_sangiang,is_mini,is_dacia,is_landrover,is_volvo,is_chrysler,is_opel,is_isuzu,is_mercedes,is_lexus,is_audi,is_citroen,is_bmw,is_mitsubishi,is_subaru,is_ford,is_jeep,is_volkswagen,is_suzuki,is_peugeot,is_reno,is_tesla,is_nissan,is_chevrolet,is_mazda,is_skoda,is_MG,is_hyundai,is_siat,is_fiat,is_honda,is_kia,is_toyota,is_cupra,year,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,is_private_import,is_rented,is_leasing,is_company,is_private,next_test_in,annual_licensing_fee,car_length,size,large,small,mini,medium,price
249,סיאט לאון CUPRA,סיאט,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,1984 ליטר בנזין,1984,בנזין,25000,2,1,אפור כהה,פרטית,0,0,0,0,1,7,3366,428.2,medium,0,0,0,1,192000
465,הונדה סיוויק ELEGANCE,הונדה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,1597 ליטר בנזין,1597,בנזין,44000,1,1,שחור מטלי,ליסינג,0,0,1,0,0,10,1811,464.8,medium,0,0,0,1,85900
1780,טויוטה וורסו GLI,טויוטה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,1798 ליטר בנזין,1798,בנזין,120000,2,1,שחור,ליסינג,0,0,1,0,0,1,1835,446.0,medium,0,0,0,1,80000
3001,טויוטה פריוס PLUG IN COMFORT,טויוטה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,1798 ליטר חשמל/בנזין,1798,חשמל/בנזין,2000,1,1,לבן,פרטית,0,0,0,0,1,11,2417,464.5,medium,0,0,0,1,147000
250,טויוטה יאריס SOL,טויוטה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,1496 ליטר בנזין,1496,בנזין,80000,1,1,כסף מטלי,ליסינג,0,0,1,0,0,4,1235,394.5,small,0,1,0,0,79000
2724,פיאט קובו ACTIVE,פיאט,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,1368 ליטר בנזין,1368,בנזין,68000,1,2,כחול מטל,השכרה,0,1,0,0,0,2,1102,395.7,small,0,1,0,0,38000
667,טויוטה C-HR HYBRID CHIC,טויוטה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,1798 ליטר בנזין,1798,בנזין,51000,1,1,כסף מטלי,פרטית,0,0,0,0,1,3,1835,436.0,medium,0,0,0,1,116900
405,סקודה סופרב AMBITION,סקודה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,1498 ליטר בנזין,1498,בנזין,0,1,1,כסף,פרטית,0,0,0,0,1,6,2417,486.9,large,1,0,0,0,195000
595,MG ZS NET UP,MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,999 ליטר בנזין,999,בנזין,39000,1,1,שחור,פרטית,0,0,0,0,1,7,1353,448.0,medium,0,0,0,1,90900
156,קיה פיקנטו GT LINE,קיה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,1197 ליטר בנזין,1197,בנזין,1000,1,1,אדום,פרטית,0,0,0,0,1,10,1235,359.5,mini,0,0,1,0,90900
