index,price
2252,60000
2302,485000
1604,16499
1118,120000
2829,110000
1943,127288
2262,81500
2522,73000
1342,49999
320,113900
1619,41000
2448,113710
2060,1450000
1673,162000
1942,137000
260,52000
2355,81500
2039,199900
689,68000
901,84900
2026,88000
138,89000
1917,38898
1828,159000
1573,100900
319,109900
653,138500
2137,92034
2323,199900
558,69000
112,139900
531,30000
224,136900
723,46900
2429,19000
2571,67000
1433,146000
2330,74900
1458,80000
2702,92000
846,52000
193,24900
1464,122000
946,55000
2021,106500
1629,20000
117,199999
645,54900
1870,62000
3,44900
74,109000
1755,290000
467,48000
5,102900
1246,170000
919,103900
228,100900
1063,102996
242,82000
2280,62000
1160,103000
2514,115000
1526,235000
1605,790000
2785,34000
2328,96500
2545,79900
1989,51900
2353,49900
1975,80250
1761,125000
1305,49999
1541,106000
622,59900
2314,455000
1493,79500
110,53900
2551,105000
1169,139000
2462,295000
232,112900
66,121000
2708,167900
2072,115500
2192,127000
536,125900
125,82000
2133,110000
1254,113000
2689,282000
1976,59900
2463,60900
2667,76609
2075,99900
484,26000
1654,77000
2677,71900
2266,181000
2406,48558
1774,119673
918,64900
1646,50000
1026,70000
1030,55900
882,109900
1335,49000
2223,99000
364,73000
2125,42500
27,57000
473,219000
525,61900
725,121900
55,157000
638,79990
302,299000
2609,139000
1276,27000
2636,90000
624,199000
2055,124900
1280,75900
1049,76000
336,116900
47,119900
106,27000
1079,432600
1144,133000
2387,39990
1836,45000
1753,88000
1101,168000
1968,131900
523,179000
1428,108000
2608,239000
603,56900
1489,90900
2610,93000
60,420000
2750,64999
671,21000
92,88000
666,62500
1887,25900
280,61000
1719,125000
359,79900
899,130900
1935,114990
1994,19500
2313,52000
760,115000
2158,115000
2623,73938
42,72000
2173,151900
204,52000
1473,71999
2100,35000
68,70000
1875,39400
2380,43450
2231,34500
137,82000
796,34900
2180,221900
2128,87000
758,137000
541,21000
1019,58500
2289,114000
165,47999
248,17999
1331,103900
2017,135000
446,129900
1358,30900
2145,58213
1329,69900
2911,65000
2150,19999
434,84900
2122,76500
577,54900
2392,156000
2742,119000
1848,894719
762,108900
388,288000
235,79900
2606,249000
1984,66000
267,150000
770,40000
2165,49000
437,124900
673,235000
249,192000
2201,52000
1574,71000
2142,189500
2081,37460
2618,349000
2569,20800
2740,41586
448,94900
1469,127000
716,40500
2399,112000
2615,95060
2048,127500
1901,46900
1168,160000
82,84900
2425,359000
1460,349900
1893,52000
1668,67078
2000,67078
475,325000
517,175999
404,25900
384,35999
2434,41618
2152,163000
1633,68000
2860,74900
688,89000
1240,87000
62,34900
852,119000
2752,29500
2477,73000
1262,90000
223,114900
2193,91000
373,104900
1824,101000
2643,50000
2870,64900
2755,110000
2685,105000
9,94900
1944,43900
1838,111019
708,99900
255,163000
1617,426000
389,121000
1581,73500
924,44900
2036,42900
2404,59500
1224,344000
1946,153000
739,92900
40,64000
868,57900
539,94000
2769,95000
1371,110000
1145,115000
1031,225000
372,229000
667,116900
357,219000
967,17999
1353,62500
1035,120000
470,59900
1396,185000
2621,236000
1549,57000
1256,140900
2094,189900
1555,103000
2590,30000
1250,42900
1699,125000
1252,16000
2781,115000
79,113000
1172,23900
814,95900
1852,20000
2220,106200
2629,319500
2105,127000
133,61900
1140,141000
933,70000
928,112900
823,185000
1531,35900
1214,22000
504,100000
2966,179999
2395,128000
1996,80000
1958,72000
1384,53000
894,74900
828,63000
2921,60631
1683,60000
2575,87900
2626,62900
2513,62400
652,64900
172,69900
38,66900
2861,40000
713,189900
90,17000
2956,99000
1205,64900
2586,128000
1827,74959
1155,130000
1324,255000
216,66900
510,135900
1680,55000
499,30500
2480,131000
1856,165000
1388,29900
1519,62900
2386,109999
2722,43450
2076,79978
1540,129000
1217,37000
1416,281900
2217,92500
2519,650000
1676,49000
1197,40000
1542,72999
953,90900
750,74900
234,69000
732,86900
2994,95400
1156,75900
2574,96060
2445,290000
1209,150000
1065,89000
2156,229900
1062,21900
1167,34000
1492,105000
2475,66900
884,90900
143,69000
2943,46000
850,345000
717,76900
2843,49130
264,64900
75,74900
395,73000
2546,49120
2224,39500
2800,295000
396,59900
1365,275000
2501,129000
1903,206000
595,90900
2109,132000
1296,74900
1821,86894
872,92900
2912,105000
2326,59000
1548,155000
36,62000
2527,64000
2143,37500
2719,50396
977,32000
1571,508000
1122,32000
2239,225000
1892,11990
675,59000
728,66900
412,83900
1516,95000
1649,270000
825,139900
616,98500
114,207000
417,102900
1625,57000
2940,115000
89,97900
2082,190000
753,46900
1630,77400
11,129900
2444,249900
284,43000
1066,36000
1191,119000
1440,204000
2802,158000
2801,222000
2711,94000
1568,88000
2427,67024
2578,221000
1687,40013
851,879000
2207,89900
895,90900
496,110000
2305,132900
1782,100000
335,90900
515,46500
1348,103000
1015,38500
2809,375500
2804,126900
1781,95000
1785,60000
2070,63350
356,79000
2984,160000
1312,61000
1635,160000
550,309900
2388,24000
2479,92000
2521,121900
2265,39000
1227,79000
2681,152900
957,124000
1773,88900
2141,70000
1008,62000
1092,32500
2822,135000
996,98000
1679,101900
153,27900
2783,28900
580,66900
1470,111933
703,45000
1212,39000
896,61900
487,87000
559,58000
1141,85000
1119,16000
512,109900
633,85500
2585,53230
1664,50000
1012,110000
1931,101000
1150,123000
2806,168000
116,17999
740,118900
2764,121990
1974,82000
1081,45999
1810,187000
830,24900
119,121500
656,94900
2733,127000
2838,99000
2933,68000
635,99000
369,75000
268,89000
46,135000
991,87900
876,108900
773,186500
1219,456000
1126,96900
4,42900
1595,136500
2311,282000
2491,109500
1077,29900
837,84000
681,32000
1715,59900
2352,85000
2361,79000
2197,87900
1148,88000
574,109900
50,66000
853,47900
1982,117500
1823,110000
833,62500
1115,83900
1166,437320
2518,40000
1906,210000
971,121000
399,18999
2559,155000
2368,115000
19,113000
684,79500
35,149900
2830,117000
524,120000
2455,83000
920,56900
1841,89500
1890,1399000
537,155900
1705,86000
2932,66900
245,92000
784,235900
1409,149899
2537,228000
154,174900
1686,70840
625,149900
2877,93400
1346,102000
569,137900
2934,305000
1758,169000
1816,59500
2065,120000
127,12500
2979,79999
2006,112500
980,115000
2976,58000
190,52000
1139,135000
992,59900
699,162500
606,92900
180,122900
301,280000
2544,26000
2776,64900
1060,92000
2820,68500
2961,179900
2565,67000
1069,59999
2524,109000
2205,53900
1243,59000
16,179000
2982,263355
546,75000
658,92000
2705,74500
2736,43450
1504,59900
959,124999
2331,89900
797,89000
225,112900
2074,85000
1799,129000
2485,160000
2964,86999
2277,163000
2085,164900
1693,25000
1045,44200
469,138000
954,83900
2978,41500
639,69900
2779,39500
1218,76900
1158,130478
1415,37000
2714,119000
1527,46000
2922,60528
1300,110000
2867,135000
1603,635000
160,89900
1704,53000
956,57000
2916,60900
877,104900
1919,52000
1884,175000
2200,57900
98,144900
2828,137500
2557,56400
253,74900
103,124900
1445,195000
1443,36999
1648,133999
586,119900
627,24900
1696,35000
2101,50500
2199,59900
403,22000
1154,24000
2255,41000
1682,83999
2056,49900
2845,48590
452,119900
2301,36990
1327,155000
2049,82900
880,49900
2990,42545
623,198000
2393,145000
2876,75000
1787,16900
262,120000
1634,93000
1438,28000
2198,81900
1969,60000
2520,44000
1802,50000
640,151900
2385,29990
2598,65000
2831,92000
1959,43999
488,129900
1843,49000
1734,169900
146,86500
1534,85900
1986,82900
1369,55000
2450,86900
2937,85000
